,age,weight,height,gender,activity,kcal,breakfast,breakfast_kcal,lunch,lunch_kcal,dinner,dinner_kcal,total_kcal,workout,workout_kcal,label
2022-03-12 22:20:03.210235,23,75,176,male,mid,2697.0,"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,CKD",123,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",280,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER",289,692,Circuit Training,630.0000000000001,0
2022-03-13 22:20:03.210235,23,75,176,male,mid,2697.0,"SPINACH,RAW",23,"KASHI,RED CURRY CHICK,FRZ ENTREE",110,"V8 SPLASH JUC DRINKS,BERRY BLEND",29,162,House Cleaning,270.0,1
2022-03-14 22:20:03.210235,23,75,176,male,heavy,3001.5,"KEEBLER,READY CRUST,SHORTBREAD PIE CRUST",502,"BEEF,CHUCK,UNDER BLADE STEAK,BNLESS,LN & FAT,0"" FAT,ALL GRDS",275,"MARGARINE,REG,HARD,SOYBN (HYDR)",719,1496,Kayaking (leisure),180.0,0
2022-03-15 22:20:03.210235,23,75,176,male,heavy,3001.5,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14530",149,"CHEESE,MONTEREY",373,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",37,559,Cooking Food,180.0,0
2022-03-16 22:20:03.210235,23,75,176,male,light,2392.5,"FAST FOODS,OYSTERS,BATTERED OR BREADED,&FRIED",265,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",143,"NUTS,PILINUTS,DRIED",719,1127,"Calisthenics (push-ups, etc.)",360.0,0
2022-03-17 22:20:03.210235,23,75,176,male,heavy,3001.5,"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR",82,"STEW,MUTTON,CORN,SQUASH (NAVAJO)",103,"OIL,CORN AND CANOLA",884,1069,"Cycling (stationary, 50W)",225.0,0
2022-03-18 22:20:03.210235,23,75,176,male,mid,2697.0,"PUMPKIN,CANNED,WITH SALT",34,"SESAME STKS,WHEAT-BASED,SALTED",541,"LAMB,AUS,IMP,FRSH,FORESHANK,LN&FAT,1/8""FAT,RAW",195,770,Swimming (light),450.0,0
2022-03-19 22:20:03.210235,23,75,176,male,light,2392.5,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",263,"MALTED DRK MIX,NAT,PDR,PREP W/ WHL MILK",88,"WILLOW,LEAVES IN OIL (ALASKA NATIVE)",592,943,Playing with Kids (sitting),180.0,0
2022-03-20 22:20:03.210235,23,75,176,male,low,2088.0,OATS,389,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,RAW",178,"VEAL,COMP OF RTL CUTS,LN,RAW",112,679,Swimming (moderate),630.0000000000001,0
2022-03-21 22:20:03.210235,23,75,176,male,light,2392.5,"CRACKERS,SALTINES,LO SALT (INCL OYSTER,SODA,SOUP)",421,"BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,SEL,RAW",127,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,CHOIC,RAW",162,710,Standing (very light),180.0,0
2022-03-22 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"V8 SPLASH JUC DRINKS,MANGO PEACH",33,"COWPEAS,CATJANG,MATURE SEEDS,CKD,BLD,WO/SALT",117,"CRISPY CHICK,BACON,& TOMATO CLUB SNDWCH,W/ CHS,LETUCE,& MAYO",257,407,"Cycling (stationary, 100W)",405.0,0
2022-03-23 22:20:03.210235,23,75,176,male,very_heavy,3306.0,PEPPERED LOAF  PORK  BF,149,"WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",38,"ICE CREAMS,BREYERS,98% FAT FREE CHOC",136,323,"Cycling (light-moderate, 10-12 mph)",450.0,1
2022-03-24 22:20:03.210235,23,75,176,male,mid,2697.0,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,RAW",216,"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,STR",59,"CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS A TO Z'S W/ MEATBALLS",95,370,Sitting Activities (very light),135.0,0
2022-03-25 22:20:03.210235,23,75,176,male,light,2392.5,"PEANUTS,VALENCIA,OIL-ROASTED,W/SALT",589,"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,LC,NOT RECON",127,"USDA CMDTY PEACHES,CND,LT SYRUP,DRND",61,777,Rowing (100W),540.0,0
2022-03-26 22:20:03.210235,23,75,176,male,heavy,3001.5,"TEMPEH,CKD",196,"LIMES,RAW",30,"HEALTHY REQUEST,CRM OF CELERY,COND",56,282,"Calisthenics (push-ups, etc.)",360.0,1
2022-03-27 22:20:03.210235,23,75,176,male,mid,2697.0,"FRANKFURTER,PORK",269,"SEAWEED,CANADIAN CULTIVATED EMI-TSUNOMATA,REHYDRATED",31,"POTATO PUFFS,FRZ,UNPREP",177,477,Rowing (100W),540.0,1
2022-03-28 22:20:03.210235,23,75,176,male,mid,2697.0,"MUSHROOMS,CHANTERELLE,RAW",38,"RYE FLOUR,LIGHT",357,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT & SKN,CKD,ROTISSERIE,",184,579,Running (7.5 mph 8 min/mile),990.0,1
2022-03-29 22:20:03.210235,23,75,176,male,light,2392.5,"KENTUCKY FRIED CHICK CRSPY,DRMSTK,MT ONLYSKN & BRDNG RMVD",170,"KOHLRABI,CKD,BLD,DRND,WO/SALT",29,"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,WO/SALT",20,219,Walking (3 mph 20 min/mile),270.0,1
2022-03-30 22:20:03.210235,23,75,176,male,heavy,3001.5,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,WO/SALT",103,"PIE CRUST,STANDARD-TYPE,FRZ,RTB,UNENR",457,"KRUSTEAZ ALMOND POPPYSEED MUFFIN MIX,ARTIFICIALLY FLAV,DRY",418,978,Washing Car,315.00000000000006,0
2022-03-31 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"GRAPE DRINK,CANNED",61,"VEAL,AUSTRALIAN,SHANK,FORE,BONE-IN,LN,RAW",123,"PEANUT BUTTER,RED NA",590,774,Swimming (light),450.0,0
2022-04-01 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"BABYFOOD,MEAT,TURKEY,JR",111,"GELATIN DSSRT,DRY MIX,PREP W/ H2O",62,"PORK,FRSH,LOIN,BLADE (ROASTS),BNLESS,LN,CKD,RSTD",175,348,"Running (6 mph, 10 min/mile)",720.0,1
2022-04-02 22:20:03.210235,23,75,176,male,heavy,3001.5,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,RAW",137,"WHALE,BELUGA,FLIPPER,RAW (ALASKA NATIVE)",271,"BABYFOOD,DINNER,VEG&BACON,STR",69,477,Washing Car,315.00000000000006,0
2022-04-03 22:20:03.210235,23,75,176,male,light,2392.5,"FRANKFURTER,LO NA",312,"PORK,GROUND,84% LN / 16% FAT,CKD,PAN-BROILED",301,"PUMPKIN,CKD,BLD,DRND,WO/SALT",20,633,Child Care (sitting),225.0,0
2022-04-04 22:20:03.210235,23,75,176,male,light,2392.5,"BABYFOOD,YOGURT,WHL MILK,W/ FRUIT,MULTIGRAIN CRL & IRON",92,"BEEF,RIB EYE RST,BNLES,LIP-ON,LN & FAT,1/8"" FAT,CHC,CKD,RSTD",303,"BABYFOOD,PLUMS,BANANAS&RICE,STR",57,452,Bathing/Dressing,180.0,0
2022-04-05 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",192,"VEAL,LEG (TOP RND),LN,CKD,BRSD",203,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",294,689,"Cycling (moderate, 12.1-14 mph)",630.0000000000001,0
2022-04-06 22:20:03.210235,23,75,176,male,heavy,3001.5,"MCDONALD'S,PREMIUM CRISPY CHICK RANCH BLT SNDWCH",244,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358,"TURNIPS,CKD,BLD,DRND,WO/SALT",22,624,"Sexual Activity (kissing, hugs)",90.0,0
2022-04-07 22:20:03.210235,23,75,176,male,mid,2697.0,"VEAL,LOIN,LN,CKD,BRSD",226,"WINE,NON-ALCOHOLIC",6,"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,PDR,NOTRECN",502,734,Weight Training (light),225.0,0
2022-04-08 22:20:03.210235,23,75,176,male,light,2392.5,"PUDDINGS,VANILLA,DRY MIX,REG,W/ ADDED OIL",369,"RESTAURANT,CHINESE,SHRIMP & VEG",78,"EMU,FAN FILLET,CKD,BRLD",154,601,House Cleaning,270.0,0
2022-04-09 22:20:03.210235,23,75,176,male,mid,2697.0,"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY",402,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN&FAT,CKD,BRLD",260,"BEEF,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED BF,RAW",276,938,"Cycling (stationary, 50W)",225.0,0
2022-04-10 22:20:03.210235,23,75,176,male,light,2392.5,"ICE CREAMS,REG,LO CARBOHYDRATE,VANILLA",216,PATE  TRUFFLE FLAVOR,327,"PORK,CURED,HAM,EX LN (APPROX 4% FAT),CND,UNHTD",120,663,Rowing (50W),270.0,0
2022-04-11 22:20:03.210235,23,75,176,male,mid,2697.0,"PEANUT BUTTER,CHUNKY,VITAMIN&MINERAL FORT",593,"BABYFOOD,DINNER,BROCCOLI & CHICK,JR",62,"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,W/SALT",11,666,Stretching/Yoga,270.0,0
2022-04-12 22:20:03.210235,23,75,176,male,heavy,3001.5,"ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC",82,"PANCAKES,BLUEBERRY,PREP FROM RECIPE",222,SAUSAGE  ITALIAN  SWT  LINKS,149,453,Swimming (light),450.0,0
2022-04-13 22:20:03.210235,23,75,176,male,low,2088.0,"CEREALS RTE,WHEAT,PUFFED,FORT",364,"PEARS,ASIAN,RAW",42,"COOKIES,OATMEAL,PREP FROM RECIPE,W/RAISINS",435,841,Bathing/Dressing,180.0,0
2022-04-14 22:20:03.210235,23,75,176,male,mid,2697.0,"FAST FOODS,BISCUIT,W/SAUSAGE",371,"BEEF,LOIN,TOP SIRLOIN FILET,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILD",174,"BEEF,TOP SIRLOIN,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",183,728,Weeding/Gardening,315.00000000000006,0
2022-04-15 22:20:03.210235,23,75,176,male,light,2392.5,"PIZZA HUT 14"" SAUSAGE PIZZA,PAN CRUST",287,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",268,"KELLOGG,KELLOGG'S EGGO,BTTRMLK PANCAKE",245,800,Golf (walking + bag),405.0,0
2022-04-16 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"BROCCOLI,STALKS,RAW",28,"TURKEY FROM WHL,ENHANCED,LT MEAT,MEAT & SKN,CKD,RSTD",157,"KASHI,STEAM MEAL,CHICK FETTUCCINE,FRZ ENTREE",99,284,Racquetball (recreational),315.00000000000006,1
2022-04-17 22:20:03.210235,23,75,176,male,low,2088.0,"WHEAT,SPROUTED",198,"SOYMILK (ALL FLAVORS),ENHANCED",45,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",378,621,"Cycling (v. hard, 16.1-19 mph)",945.0,1
2022-04-18 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",177,"FISH,SALMON,PINK,CND,TOTAL CAN CONTENTS",129,"PEAS,GRN,CND,NO SALT,DRND SOL",69,375,"Running (8.6 mph, 7 min/mile)",1080.0,1
2022-04-19 22:20:03.210235,23,75,176,male,heavy,3001.5,"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,STWD",159,"PICKLE&PIMIENTO LOAF,PORK",225,"INF FORM,NEST,GOOD START ESSENT SOY,W/ IRON,LIQ CON,NOT RECO",128,512,Weeding/Gardening,315.00000000000006,0
2022-04-20 22:20:03.210235,23,75,176,male,light,2392.5,"NANCE,FRZ,UNSWTND",73,"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,WO/SALT",20,"FISH,SALMON,TIPNUK,FERMENTED (ALASKA NATIVE)",159,252,Carrying Groceries (light),315.00000000000006,1
2022-04-21 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"INTERSTATE BRANDS CORP,WONDER HAMBURGER ROLLS",273,"MCDONALD'S,CHOC TRIPLE THICK SHAKE",163,"BEERWURST,BEER SALAMI,PORK",238,674,Child Care (sitting),225.0,0
2022-04-22 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"BEANS,NAVY,MATURE SEEDS,CND",113,"PORK,CURED,HAM W/ NAT JUCS,SPRL SLCE,BNLES,LN & FAT,HTD,RSTD",139,"WORTHINGTON CHILI,CND,UNPREP",126,378,"Cycling (moderate, 12.1-14 mph)",630.0000000000001,1
2022-04-23 22:20:03.210235,23,75,176,male,mid,2697.0,"SPEARMINT,DRIED",285,"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",343,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",127,755,Weight Training (hard),450.0,0
2022-04-24 22:20:03.210235,23,75,176,male,mid,2697.0,"SEAL,BEARDED (OOGRUK),MEAT,LO QUADRANT,RAW (ALASKA NATIVE)",186,"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400,"FT FDS, HAMBRGER; SIN, LRG PATTY; W/ CONDMNTS, VEG, MAYO",226,812,Racquetball (recreational),315.00000000000006,0
2022-04-25 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"INFFOR,MEADJOHNS,ENFAMIL,PROSOBEE,LIPIL,LC,NOTREC,ARA&DHA",131,"MCDONALD'S,FRUIT 'N YOGURT PARFAIT",105,"BEEF,SHLDR POT RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,BRSD",196,432,"Running (6.6 mph, 9 min/mile)",855.0,1
2022-04-26 22:20:03.210235,23,75,176,male,mid,2697.0,"BEEF,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED BF,RAW",276,"ROSELLE,RAW",49,"CAMPBELL'S CHUNKY SOUPS,CHICK CORN CHOWDER",82,407,Rowing (100W),540.0,1
2022-04-27 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"MUSHROOMS,SHIITAKE,CKD,WO/SALT",56,"LAMB,AUS,IMP,FRSH,RIB,LN,1/8""FAT,CKD,RSTD",210,"MCDONALD'S,NEWMAN'S OWN LOFAT BALSAMIC VINAIGRETTE",86,352,"Calisthenics (push-ups, etc.)",360.0,1
2022-04-28 22:20:03.210235,23,75,176,male,light,2392.5,"V8 VEG JUC,SPICY HOT V8",21,"SOY FLR,FULL-FAT,RSTD,CRUDE PROT BASIS (N X 6.25)",439,"BABYFOOD,JUC,APPL&CHERRY",41,501,Rowing (200W),945.0,1
2022-04-29 22:20:03.210235,23,75,176,male,heavy,3001.5,"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND",81,"CEREALS RTE,BEAR NAKED BANANA NUT",380,"KEEBLER,TOWN HOUSE,FLIPSIDES,PRETZEL CRACKERS,GARLIC HERB",486,947,Rowing (50W),270.0,0
2022-04-30 22:20:03.210235,23,75,176,male,heavy,3001.5,"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 6.25)",164,"CHESTNUTS,JAPANESE,RAW",154,"CHEESE,PARMESAN,LO NA",451,769,"Sexual Activity (kissing, hugs)",90.0,0
2022-05-01 22:20:03.210235,23,75,176,male,mid,2697.0,"BEEF,CHK,UND BL CNTR STK,BNL,DEN CUT,LN & FT,0""FT,All Gr, RW",182,"BABYFOOD,CRL,OATMEAL,PREP W/WHL MILK",116,"CAMPBELL'S SEL MICROWAVEABLE BOWLS,HEA",49,347,Walking (4 mph 15 min/mile),360.0,1
2022-05-02 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"EGG SUB,LIQ OR FRZ,FAT FREE",48,"CHEESE,SWISS,LOW SODIUM",374,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STK,W/ SALT",537,959,Weight Training (hard),450.0,0
2022-05-03 22:20:03.210235,23,75,176,male,light,2392.5,"KIELBASA,POLISH,TURKEY & BF,SMOKED",226,"SOUP,CHICK BROTH,CND,LESS/REDUCED NA",7,"BEERWURST,BEER SALAMI,PORK & BF",277,510,Standing (very light),180.0,0
2022-05-04 22:20:03.210235,23,75,176,male,low,2088.0,"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",340,"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,CALCIUM-FORTIFIED",364,"TOMATOES,ORANGE,RAW",16,720,House Cleaning,270.0,0
2022-05-05 22:20:03.210235,23,75,176,male,heavy,3001.5,"PIE CRUST,STANDARD-TYPE,FRZ,RTB,UNENR",457,"OIL,SPOTTED SEAL (ALASKA NATIVE)",894,"SWANSON BROTH,VEG BROTH",5,1356,Playing with Kids (sitting),180.0,0
2022-05-06 22:20:03.210235,23,75,176,male,mid,2697.0,"FAST FOODS,TACO SALAD",141,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,CKD,RSTD",246,"PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN,UNHTD",95,482,Aerobics (high impact),540.0,1
2022-05-07 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"SOUP,CHICK NOODLE,CND,PREP W/ EQ VOLUME H2O",25,"SOUP,CLAM CHOWDER,NEW ENG,CND,PREP W/ EQ VLM LOFAT (2%) MILK",61,"BEEF,CHUCK,ARM POT RST,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",297,383,Rowing (100W),540.0,1
2022-05-08 22:20:03.210235,23,75,176,male,mid,2697.0,"RICE,WHITE,SHORT-GRAIN,RAW",358,"OYSTER,EASTERN,FARMED,CKD,DRY HEAT",79,"CEREALS,MALT-O-MEAL,FARINA HOT WHEAT CRL,DRY",362,799,"Running (5 mph, 12 min/mile)",540.0,0
2022-05-09 22:20:03.210235,23,75,176,male,heavy,3001.5,"WHEAT FLR,WHITE,BREAD,ENR",361,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN,BNLESS,CKD,RSTD",219,"BEETS,PICKLED,CND,SOL&LIQUIDS",65,645,"Running (6 mph, 10 min/mile)",720.0,1
2022-05-10 22:20:03.210235,23,75,176,male,low,2088.0,"CARIBOU,RUMP MEAT,HALF DRIED (ALASKA NATIVE)",255,"BREAD,CRACKED-WHEAT",260,"FROZEN NOVELTIES,JUC TYPE,POPSICLE SCRIBBLERS",81,596,"Cycling (v. hard, 16.1-19 mph)",945.0,1
2022-05-11 22:20:03.210235,23,75,176,male,light,2392.5,"PORK,CURED,HAM,REG (APPROX 13% FAT),CND,RSTD",226,"LAMB,AUS,IMP,FRSH,SHLDR,BLADE,LN&FAT,1/8""FAT,CKD,BRLD",291,"SAUCE,CHS,RTS",174,691,"Cycling (stationary, 250W)",990.0,1
2022-05-12 22:20:03.210235,23,75,176,male,heavy,3001.5,"CLOUDBERRIES,RAW (ALASKA NATIVE)",51,"BEEF,RND,TOP RND,LN,0""FAT,ALL GRDS,CKD,BRSD",199,"CAMPBELL'S SEL MICROWAVEABLE BOWLS,HEA",49,299,"Cycling (light, <10 mph)",540.0,1
2022-05-13 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"CANDIES,TWIZZLERS CHERRY BITES",338,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",201,"ARCHWAY HOME STYLE COOKIES,FROSTY LEMON",430,969,Playing with Kids (sitting),180.0,0
2022-05-14 22:20:03.210235,23,75,176,male,mid,2697.0,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN,1/8"" FAT,SEL,CKD,BRLD",177,"CHEESE,CARAWAY",376,"KEEBLER,GRIPZ,CINN GRAHAMS,BITE-SIZE",415,968,Sweeping,225.0,0
2022-05-15 22:20:03.210235,23,75,176,male,light,2392.5,"CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW",215,"RICE CAKES,BROWN RICE,SESAME SD,UNSALTED",392,"CEREALS,QUAKER,INST OATMEAL,CINN SPICE,RED SUGAR",359,966,"Cycling (hard, 14.1-16 mph)",810.0,0
2022-05-16 22:20:03.210235,23,75,176,male,low,2088.0,"COCOA,DRY PDR,HI-FAT OR BRKFST,PLN",486,"CORN,SWT,WHITE,CND,CRM STYLE,REG PK",72,"SNACKS,RICE CAKES,BROWN RICE,CORN",385,943,Running 5.5 mph (11 min/mile),630.0000000000001,0
2022-05-17 22:20:03.210235,23,75,176,male,light,2392.5,"LAMB,DOM,LEG,SIRLOIN HALF,LN,1/4""FAT,CHOIC,CKD,RSTD",204,"TRITICALE FLR,WHOLE-GRAIN",338,"CAMPBELL'S, TOMATO JUC,LO NA",21,563,Washing Dishes/Ironing,180.0,0
2022-05-18 22:20:03.210235,23,75,176,male,mid,2697.0,"SALAD DRSNG,FRENCH DRSNG,RED FAT",222,"PEPPERS,HOT CHILI,GRN,RAW",40,"MACKEREL,ATLANTIC,RAW",205,467,Aerobics (low impact),405.0,0
2022-05-19 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS",60,"CRACKERS,STD SNACK-TYPE,REG,LO SALT",502,"CANDIES,WHITE CHOC",539,1101,House Cleaning,270.0,0
2022-05-20 22:20:03.210235,23,75,176,male,heavy,3001.5,"HUMMUS,HOME PREP",177,"MUSTARD,PREPARED,YELLOW",67,"CHILI WITH BEANS,CANNED",112,356,Sweeping,225.0,0
2022-05-21 22:20:03.210235,23,75,176,male,heavy,3001.5,"PEANUTS,VIRGINIA,OIL-ROASTED,W/SALT",578,"PUDDINGS,VANILLA,RTE,FAT FREE",89,"CEREALS RTE,GENERAL MILLS,CHEERIOS,CHOC",379,1046,Rowing (200W),945.0,0
2022-05-22 22:20:03.210235,23,75,176,male,mid,2697.0,"BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,ALL GRDS,CKD,BRLD",200,"MCDONALD'S,HOT MUSTARD SAU",190,"PIE CRUST,STANDARD-TYPE,PREP FROM RECIPE,BKD",527,917,Sweeping,225.0,0
2022-05-23 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"RAISINS,SEEDLESS",299,"OIL,INDUSTRIAL,CTTNSD,FULLY HYDR",884,"GAME MEAT,ELK,TENDERLOIN,LN,CKD,BRLD",162,1345,Playing with Kids (standing),225.0,0
2022-05-24 22:20:03.210235,23,75,176,male,mid,2697.0,"INF FORMULA,MEAD JOHNSON,ENFAMIL,LACTOFREE,RTF",63,"BEANS,GREAT NORTHERN,MATURE SEEDS,RAW",339,"CANDIES,TWIZZLERS CHERRY BITES",338,740,Running (7.5 mph 8 min/mile),990.0,1
2022-05-25 22:20:03.210235,23,75,176,male,light,2392.5,"CHEESE,BRICK",371,"CEREALS RTE,KASHI SIMPLY MAIZE",371,"WORTHINGTON MEATLESS CORNED BF ROLL,FRZ,UNPREP",245,987,Rowing (200W),945.0,0
2022-05-26 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"CEREALS RTE,GENERAL MILLS,FIBER ONE BRAN CRL",200,"VINEGAR,RED WINE",19,"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,LC,NOT RECON",127,346,"Running (5 mph, 12 min/mile)",540.0,1
2022-05-27 22:20:03.210235,23,75,176,male,mid,2697.0,"TURKEY POT PIE,FRZ ENTREE",176,"CRANBERRY,LO BUSH OR LINGENBERRY,RAW (ALASKA NATIVE)",55,"PASTA,CORN,COOKED",126,357,Circuit Training,630.0000000000001,1
2022-05-28 22:20:03.210235,23,75,176,male,mid,2697.0,"SUNFLOWER SD KRNLS,DRY RSTD,WO/SALT",582,"PEANUTS,ALL TYPES,DRY-ROASTED,WO/SALT",585,"BEEF,GROUND,UNSPEC FAT CONTENT,CKD",234,1401,"Running (8.6 mph, 7 min/mile)",1080.0,0
2022-05-29 22:20:03.210235,23,75,176,male,low,2088.0,"COOKIES,CHOC SNDWCH,W/CREME FILLING,REG",469,"STEW,HOMINY W/ MUTTON (NAVAJO)",83,"BEEF,AUST,WAGYU,LN,TDRLN STK/RST,BNLS,LN&FAT,MRBLSCR 4/5,RAW",206,758,Standing (very light),180.0,0
2022-05-30 22:20:03.210235,23,75,176,male,mid,2697.0,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",104,"SOUP,BF NOODLE,CND,COND",67,"PORK,FRSH,ENHCD,SHLDR,(BOSTON BUTT),BLDE (STKS),LN & FAT,RAW",169,340,Running 5.5 mph (11 min/mile),630.0000000000001,1
2022-05-31 22:20:03.210235,23,75,176,male,mid,2697.0,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,RAW",161,"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 6.25)",374,"DENNY'S,GOLDEN FRIED SHRIMP",277,812,Rowing (50W),270.0,0
2022-06-01 22:20:03.210235,23,75,176,male,mid,2697.0,"CORN FLR,MASA,ENR,WHITE",365,"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",164,"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,SEL,CKD,BRLD",198,727,Playing with Kids (sitting),180.0,0
2022-06-02 22:20:03.210235,23,75,176,male,heavy,3001.5,"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",396,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR",196,"PIKE,NORTHERN,CKD,DRY HEAT",113,705,"Cycling (hard, 14.1-16 mph)",810.0,1
2022-06-03 22:20:03.210235,23,75,176,male,light,2392.5,"SOYBEANS,MATURE SEEDS,SPROUTED,RAW",122,"PASTA,CORN,COOKED",126,"SALAD DRSNG,SPRAY-STYLE DRSNG,ASSORTED FLAVORS",165,413,Child Care (sitting),225.0,0
2022-06-04 22:20:03.210235,23,75,176,male,low,2088.0,"CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF",0,"SUNFLOWER SD BUTTER,WO/SALT",617,"CEREALS RTE,KELLOGG,KELLOGG'S SMART START ANTIOXIDANTS CRL",369,986,Raking Leaves,315.00000000000006,0
2022-06-05 22:20:03.210235,23,75,176,male,light,2392.5,"PORK,FRSH,ENHANCED,LOIN,TENDERLOIN,LN & FAT,RAW",114,HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND,310,POTATO PANCAKES,268,692,Golf (walking + bag),405.0,0
2022-06-06 22:20:03.210235,23,75,176,male,low,2088.0,"SPOT,COOKED,DRY HEAT",158,"FRUIT JUC DRK,GREATER THAN 3% JUC,HI VIT C",46,"MARGARINE-LIKE SHORTENING,INDUS,SOY(PART  HYDR),CTTNSD,& SOY",628,832,Sitting Activities (very light),135.0,0
2022-06-07 22:20:03.210235,23,75,176,male,light,2392.5,"GRANOLA BARS,OATS,FRUITS&NUT",397,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96,"GRAVY,MUSHROOM,DRY,PDR",328,821,"Cycling (light, <10 mph)",540.0,0
